path,type,dimensions,date_modified,model,description,upgraded
images/ads/banner/yoga-beginners-banner.webp,.webp,728x90,2025-12-24 13:49:05,gemini-2.5-flash,,false
images/ads/shared/silk-arts-banner.png,.png,1024x1024,2025-12-23 05:39:20,gemini-2.5-flash,"Three people working on pottery at wheels in a warm, sunlit studio with Japanese-style windows and shelves of ceramic pieces.",true
images/ads/shared/silk-arts-banner.webp,.webp,1024x1024,2025-12-24 15:58:04,gemini-2.5-flash,"Three people working on pottery at wheels in a warm, sunlit studio with Japanese-style windows and shelves of ceramic pieces.",true
images/ads/shared/silk-cafe-banner.png,.png,1024x1024,2025-12-24 16:31:04,gemini-2.5-flash,"Close-up of a steaming coffee cup with a fresh pastry on a worn wooden farmhouse table in a cozy cottage cafe. Victorian interior with natural window light, authentic humble setting. Subtle steam rising from the coffee. Blurred people conversing naturally in the soft background.",true
images/ads/shared/silk-cafe-banner.webp,.webp,1024x1024,2025-12-24 16:31:05,gemini-2.5-flash,"Close-up of a steaming coffee cup with a fresh pastry on a worn wooden farmhouse table in a cozy cottage cafe. Victorian interior with natural window light, authentic humble setting. Subtle steam rising from the coffee. Blurred people conversing naturally in the soft background.",true
images/ads/shared/silk-franchise-strip.png,.png,1024x1024,2025-12-24 16:32:55,gemini-2.5-flash,"Cozy Victorian cottage kitchen scene with worn wooden table set with simple vintage dishes, ceramic cups, and homemade food. Warm natural window light streaming through tall windows with wavy antique glass. Authentic 1890s interior details - cast iron radiator, wide-plank hardwood floors, original trim. Inviting community gathering atmosphere.",true
images/ads/shared/silk-franchise-strip.webp,.webp,1200x200,2025-12-24 16:32:56,gemini-2.5-flash,"Wide panoramic view of Victorian cottage interior showing multiple connected spaces - cozy kitchen with wooden table and vintage dishes, warm parlor with period furniture, authentic 1890s architectural details throughout. Natural window light streaming through tall windows with wavy antique glass. Cast iron radiators, wide-plank hardwood floors, original crown molding. Inviting community living atmosphere.",true
images/ads/shared/silk-franchise-wide.png,.png,1024x1024,2025-12-24 16:32:58,gemini-2.5-flash,"Three Victorian cottages side by side showing the variety of SILK community living - left: charming white cottage with wraparound porch and gardens, center: cozy cream cottage with bay windows and flower boxes, right: sage-green cottage with decorative gingerbread trim. All authentic 1880s-1890s architecture with original details. Warm golden hour light, tree-lined neighborhood street.",true
images/ads/shared/silk-franchise-wide.webp,.webp,400x400,2025-12-24 16:32:59,gemini-2.5-flash,"SILK Corp promotional banner showing Start Your Own SILK Community with three images: modern building, cozy interior, and Victorian house.",true
images/ads/shared/silk-homes-banner.png,.png,1024x1024,2025-12-24 16:32:02,gemini-2.5-flash,"Exterior of a charming Victorian cottage with wraparound porch, warm lighting, and lush garden at golden hour.",true
images/ads/shared/silk-homes-banner.webp,.webp,400x400,2025-12-24 16:32:49,gemini-2.5-flash,"Exterior of a charming Victorian cottage with wraparound porch, warm lighting, and lush garden at golden hour.",true
