path,type,dimensions,date_modified,model,style,description,original_path,file_size_bytes
images/articles/arts-sculptor-new.webp,.webp,1024x1024,2025-12-24 12:56:09,gemini-3-pro-image-preview,professional-documentary,"Bearded man in dark plaid flannel shirt carving wooden sculptures at worn farmhouse kitchen table in Victorian cottage with tall windows, cast iron radiator, open shelving with mason jars, and patterned tile floor. Wood shavings scattered on table with completed abstract wooden forms.",images/articles/arts-sculptor.webp,185028
images/articles/arts-sculptor-iphone.webp,.webp,1024x1024,2025-12-24 13:03:39,gemini-3-pro-image-preview,iphone-snapshot-f11,"iPhone-style snapshot of bearded man carving wooden sculptures at farmhouse kitchen table. Flat f/11 depth of field with everything in sharp focus. Victorian cottage with imperfect cream walls showing hairline cracks, black cast iron radiator, extensive open shelving packed with mason jars and dishes, vintage stove. Multiple carved wooden forms and shavings on worn table. Patterned linoleum floor. Casual unposed candid moment.",images/articles/arts-sculptor.webp,224766
/home/krashnik/nanobanana-images/gen_20251224_155157_1_1_3c95c033.png,.png,1024x1024,2025-12-24 15:51:57,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Three people working on pottery at wheels in a warm, sunlit studio with Japanese-style windows and shelves of ceramic pieces. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/ads/shared/silk-arts-banner.png,794104
images/ads/shared/silk-arts-banner.webp,.webp,1024x1024,2025-12-24 15:58:15,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Three people working on pottery at wheels in a warm, sunlit studio with Japanese-style windows and shelves of ceramic pieces. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/ads/shared/silk-arts-banner.webp,187616
images/articles/tech-wellness-app.webp,.webp,330x242,2025-12-24 16:17:59,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Man on porch at golden hour raising phone with scenic valley view. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/tech-wellness-app.webp,20146
images/articles/arts-ceramics-workshop.webp,.webp,1024x1024,2025-12-24T16:28:58-08:00,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Hands shaping clay on a pottery wheel in a warm studio with shelves of finished ceramic bowls and pottery tools. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/arts-ceramics-workshop.webp,222102
images/articles/arts-corner-transformation.png,.png,1024x1024,2025-12-24T16:31:11-08:00,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Victorian-style art corner with floral wallpaper, round table with easel, art supplies, and botanical sketches pinned to wall. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/arts-corner-transformation.png,1714168
images/articles/arts-corner-transformation.webp,.webp,1024x1024,2025-12-24T16:31:46-08:00,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Victorian-style art corner with floral wallpaper, round table with easel, art supplies, and botanical sketches pinned to wall. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/arts-corner-transformation.webp,229960
images/articles/arts-first-friday-parlor.webp,.webp,1024x1024,2025-12-24 16:31:35,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Ornate Victorian parlor with floral wallpaper, arched windows, green and burgundy velvet chairs, and a small round table. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/arts-first-friday-parlor.webp,253220
images/articles/arts-gallery-night.png,.png,1024x1024,2025-12-24 16:31:35,gemini-3-pro-image-preview,professional-documentary,"Professional documentary photography, f/11 aperture, deep depth of field with everything in sharp focus. Richly decorated Victorian room with dark wood paneling, fireplace, portraits, landscape paintings, oil lamp, and tea service by window. Studio-quality lighting, cinematic composition, photojournalistic authenticity. No text overlays.",images/articles/arts-gallery-night.png,1618829
