filename,title,word_count,photo_links,thumbnail_link,author,community_members,category,header_complete,footer_complete,sidebar_complete,ad_in_sidebar,ad_in_article_body,template_type,comment_count,view_count,tags,meta_description,publish_date,completeness_score,is_enhanced_format,has_media_folder,media_folder_path,has_figure_captions,has_newsletter_signup,has_mobile_sticky_ad,has_sticky_sidebar,has_article_layout_class,has_inline_responsive_css,comment_avatars_real,enhanced_format_score,enhanced_article_path,has_alt_text_all_images,has_proper_heading_hierarchy,has_descriptive_link_text,has_form_labels,has_skip_nav_link,has_focus_indicators,has_aria_labels,color_contrast_passes,is_keyboard_navigable,accessibility_score
post-arts-studio-portrait.html,Artist Spotlight: Creating from the Heart,550,images/articles/arts-studio-portrait.webp|images/ads/silk-yoga-banner.webp|images/ads/silk-cafe-banner.webp,images/articles/arts-studio-portrait.webp,Marcus Webb,Ben Okafor|Elena Martinez|Emma Clarke|Marcus Webb|Nathan Cross|Rachel Kim,ARTS,True,True,True,True,False,full,9,2387,ARTS|ARTIST PROFILE|COMMUNITY,Meet a local artist whose creative process and community connection inspire us all to embrace authentic expression.,"10:15 AM, Dec 17",88,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-pottery-studio.html,Clay & Calm: Inside a Local Pottery Studio,494,images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/samples/690x450/arts-pottery-studio.webp,Elena Martinez,Ben Okafor|Elena Martinez|Marcus Webb|Rachel Kim,ARTS,True,True,True,False,True,full,15,2156,ARTS|POTTERY|CERAMICS|COMMUNITY,"In a converted warehouse in Marietta, wet clay spins on wheels and creative souls find their center. Meet the artists shaping more than just pottery—t","2:15 PM, Dec 16",85,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-pottery.html,Clay and Community: Finding Peace in the Pottery Studio,448,images/articles/pottery-studio-clay.webp|images/ads/silk-arts-banner.webp|images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/articles/pottery-studio-clay.webp,Elena Martinez,Ben Okafor|Bill Henderson|Elena Martinez|Emma Clarke|Maya Chen|Rachel Kim|Sarah Mitchell|Tom Richardson,ARTS,True,True,True,True,True,full,14,2847,POTTERY|CLAY WORK|CREATIVE PRACTICE|GRIEF,Elena Martinez shares her journey into pottery—from grief and transition to finding solace in centering clay. A story of transformation through patient attention and creative community at SILK Arts.,"2:47 PM, Dec 11",95,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-art-walk.html,First Friday Art Walk: A Community Tradition,488,images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/samples/690x450/arts-gallery-walk.webp,Marcus Webb,Ben Okafor|David Chen|Elena Martinez|Marcus Webb|Rachel Kim,ARTS,True,True,True,False,True,full,52,4892,ARTS|GALLERY|COMMUNITY|MARIETTA,"On the first Friday of every month, downtown Marietta transforms into an open-air gallery. Local artists open their studios, galleries stay late, and ","6:00 PM, Dec 6",85,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-arts-photography.html,Rachel's Polaroid Project,522,images/articles/arts-photography.webp|images/ads/silk-arts-banner.webp|images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/articles/arts-photography.webp,Rachel Kim,Ben Okafor|Bill Henderson|Elena Martinez|Emma Clarke|Jacob Torres|Maya Chen|Rachel Kim,ARTS,True,True,True,True,True,full,14,2847,PHOTOGRAPHY|POLAROID|COMMUNITY|ARTS,"Rachel started documenting ordinary moments with a thrift store Polaroid. Three months later, our whole community saw themselves differently.","5:30 PM, Dec 11",95,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-sculpting-dreams.html,Sculpting Dreams: The Stone Carvers of SILK Arts,855,images/articles/sculpting-dreams.webp|images/ads/silk-arts-banner.webp|images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/articles/sculpting-dreams.webp,Elena Martinez,Ben Okafor|Bill Henderson|David Chen|Elena Martinez|Emma Clarke|Evie Stone|Marcus Webb|Omar Hassan|Rachel Kim,ARTS,True,True,True,True,True,full,22,4127,ARTS|SCULPTURE|STONE CARVING|CRAFTSMANSHIP,"In the corner workshop at SILK Arts, David Chen and fellow stone carvers discover that creating beauty is its own justification—a meditation on patience, transformation, and working with ancient materials.","2:30 PM, Dec 13",100,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-arts-painting-class.html,The Afternoon Elena Lent Me Her Brushes,855,images/articles/arts-painting-nook.webp|images/ads/silk-arts-banner.webp|images/ads/silk-yoga-banner.webp,images/articles/arts-painting-nook.webp,Rachel Kim,Ben Okafor|Elena Martinez|Marcus Webb|Rachel Kim,ARTS,True,True,True,True,False,full,6,847,ARTS|PAINTING|COMMUNITY,How a cluttered corner in Elena's Victorian cottage became the place where I remembered I was allowed to make things.,"2:30 PM, Dec 19",93,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-arts-first-friday.html,The First Friday When Nobody Came (And Why It Mattered),781,images/articles/arts-first-friday-parlor.webp|images/ads/silk-yoga-banner.webp|images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/articles/arts-first-friday-parlor.webp,Elena Martinez,Ben Okafor|Bill Henderson|Dorothy Chen|Elena Martinez|Marcus Webb|Maya Chen|Rachel Kim|Sarah Mitchell|Tom Richardson,ARTS,True,True,True,True,True,full,8,1243,ARTS|COMMUNITY|VULNERABILITY|SELF-EXPRESSION,Elena hosts her first art showing in her cottage parlor. Only Bill and Tom show up. But the conversation that happens changes how she thinks about art and audience.,"6:00 PM, Dec 15",100,True,True,articles/arts-first-friday/media/,True,True,True,False,True,True,True,100,articles/arts-first-friday/,True,True,True,True,False,True,True,True,True,80
post-arts-gallery-opening.html,The Night We Opened Jacob's Living Room,677,images/articles/arts-gallery-night.webp|images/ads/silk-arts-banner.webp|images/ads/silk-homes-banner.webp,images/articles/arts-gallery-night.webp,Jacob Torres,Ben Okafor|Elena Martinez|Emma Clarke|Jacob Torres|Nathan Cross|Rachel Kim,ARTS,True,True,True,False,True,full,7,891,ARTS|COMMUNITY|GALLERY,How Jacob's informal gallery night became the place where neighbors shared art they'd been making in quiet corners of their homes.,"9:30 AM, Dec 13",83,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
post-arts-darkroom-quiet.html,The Quiet Hours in Rachel's Basement,865,images/homepage/hp-arts-darkroom-330.webp|images/ads/silk-arts-banner.webp|images/ads/silk-cafe-banner.webp,images/homepage/hp-arts-darkroom-330.webp,Rachel Kim,Ben Okafor|Bob Harrison|Elena Martinez|Emma Clarke|Nathan Cross|Rachel Kim,ARTS,True,True,True,True,False,full,12,2347,ARTS|PHOTOGRAPHY|FILM|DARKROOM,"Three nights a week, Rachel disappears into her basement to develop film. The red light, the chemical smell, the silence—this is where she remembers her mother.","9:42 PM, Dec 18",95,False,False,,False,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,False,0
